user_id,state_code,age,sex,race_ethnicity,party,is_supersharer,is_superconsumer,tweetsDuringStudy,total_exposures,n_exp,total_shares,n_share
2866393,OH,57.1,Female,African-American,No Party/No Info,FALSE,FALSE,702,30776,2823,18,1
1121596,OK,76.9,Male,Caucasian,Republican,TRUE,TRUE,15451,374316,73001,1433,336
2088103,OK,55.5,Female,Caucasian,Republican,TRUE,TRUE,1534,46879,4487,478,270
1093099,OK,38,Female,African-American,Democrat,FALSE,FALSE,11409,2236,7,217,3
860621,OK,31.4,Male,Caucasian,Independent,FALSE,FALSE,460,8028,555,22,2
1096957,OR,51.7,Female,Caucasian,Republican,FALSE,TRUE,499,74622,11921,97,9
1704228,OR,40.4,Male,Caucasian,Democrat,FALSE,FALSE,984,14631,113,6,1
88224,PA,58.7,Female,Caucasian,Republican,TRUE,TRUE,26226,51627,5018,2057,342
2658145,PA,58.1,Male,African-American,Democrat,TRUE,TRUE,4790,46577,1293,922,36
1493031,PA,72.3,Female,Caucasian,Democrat,FALSE,FALSE,1104,1195,2,54,4
2679195,PA,48.6,Female,Caucasian,Democrat,FALSE,TRUE,6292,49642,526,309,4
172699,PA,34.4,Male,Caucasian,No Party/No Info,FALSE,FALSE,1038,5090,66,25,3
1541265,PA,44.7,Male,Caucasian,Other,FALSE,FALSE,1155,9089,449,81,1
1629933,PA,52.9,Male,Caucasian,Democrat,FALSE,FALSE,6130,2711,265,6,1
2517426,PA,51.1,Male,Caucasian,Democrat,FALSE,FALSE,7695,14694,108,52,1
3152191,PA,47.5,Female,Caucasian,Republican,FALSE,FALSE,2,10390,767,2,1
1500229,RI,55.7,Female,Caucasian,Democrat,FALSE,FALSE,824,210,3,12,2
977187,RI,37.7,Male,Caucasian,No Party/No Info,FALSE,FALSE,5911,3185,6,91,1
1225762,SC,59.5,Male,Caucasian,No Party/No Info,FALSE,FALSE,220,10804,1273,22,8
248164,SC,46.7,Female,Caucasian,No Party/No Info,FALSE,FALSE,48,31022,5133,2,1
381206,SC,44.3,Male,Caucasian,No Party/No Info,FALSE,TRUE,1269,44857,745,6,1
3173859,SC,37.4,Male,African-American,No Party/No Info,FALSE,FALSE,900,3394,253,5,1
2211881,SD,25.9,Male,Caucasian,Independent,FALSE,TRUE,4394,45625,1975,58,1
2070424,TN,40.8,Female,Caucasian,No Party/No Info,FALSE,FALSE,1111,1506,123,44,7
1332208,TN,21.6,Male,Caucasian,No Party/No Info,FALSE,FALSE,2540,1890,550,26,4
1866368,TN,56.3,Female,Caucasian,No Party/No Info,FALSE,FALSE,415,16482,284,9,1
2500187,TN,35.2,Male,Caucasian,No Party/No Info,FALSE,FALSE,109,7195,610,10,1
2883181,TN,48.5,Male,Caucasian,No Party/No Info,FALSE,TRUE,528,91019,16594,1,1
3384413,TN,35.2,Male,Caucasian,No Party/No Info,FALSE,FALSE,556,9243,19,2,1
2241261,TX,35.8,Male,Caucasian,No Party/No Info,FALSE,FALSE,537,1128,215,37,14
375570,TX,47,Female,Caucasian,No Party/No Info,FALSE,FALSE,784,18,0,16,7
1207516,TX,50.3,Male,Caucasian,No Party/No Info,FALSE,FALSE,932,10200,1601,88,6
1284155,TX,48.3,Male,Other,No Party/No Info,FALSE,FALSE,333,2770,146,8,3
1410039,TX,21.2,Male,Caucasian,No Party/No Info,FALSE,FALSE,2419,8348,112,123,3
1778871,TX,37,Male,Caucasian,No Party/No Info,FALSE,FALSE,386,1989,52,12,3
2071342,TX,40.6,Male,Caucasian,No Party/No Info,FALSE,FALSE,525,23,0,16,3
1615858,TX,71.4,Female,Caucasian,No Party/No Info,FALSE,FALSE,735,42792,1671,16,2
1951404,TX,63.7,Female,Caucasian,No Party/No Info,FALSE,FALSE,365,3812,535,20,2
1963546,TX,29.4,Male,Caucasian,No Party/No Info,FALSE,FALSE,211,4,0,9,2
2681886,TX,33.1,Female,Hispanic,No Party/No Info,FALSE,FALSE,1754,7819,49,42,2
3181030,TX,27.9,Male,Hispanic,No Party/No Info,TRUE,FALSE,5844,12740,98,1205,2
48480,TX,39.2,Female,Hispanic,No Party/No Info,FALSE,FALSE,412,11207,7,19,1
69541,TX,23.2,Male,Caucasian,No Party/No Info,FALSE,FALSE,1672,173,9,9,1
686885,TX,42,Male,Caucasian,No Party/No Info,FALSE,FALSE,720,2090,222,6,1
939268,TX,60.2,Male,Caucasian,No Party/No Info,FALSE,TRUE,81,62646,12698,52,1
1205487,TX,20.1,Male,Caucasian,No Party/No Info,FALSE,FALSE,7817,1174,46,4,1
1545815,TX,49,Male,Caucasian,No Party/No Info,FALSE,FALSE,311,8560,345,42,1
1823583,TX,26.7,Female,Caucasian,No Party/No Info,FALSE,FALSE,337,2571,205,6,1
1858892,TX,41.3,Male,Caucasian,No Party/No Info,FALSE,FALSE,33,1082,0,5,1
1907001,TX,68,Female,Caucasian,No Party/No Info,FALSE,TRUE,87,58592,6223,5,1
2872851,TX,39.8,Female,Caucasian,No Party/No Info,FALSE,FALSE,348,255,6,1,1
3347920,TX,47.5,Female,Caucasian,No Party/No Info,FALSE,FALSE,101,244,0,3,1
630524,UT,50.3,Male,Caucasian,Republican,FALSE,FALSE,28,2850,116,1,1
813239,UT,55.6,Female,Caucasian,Republican,FALSE,FALSE,109,64,1,2,1
2110982,UT,39,Female,Caucasian,Independent,FALSE,FALSE,904,2251,21,9,1
2777527,VA,63.2,Male,Caucasian,No Party/No Info,TRUE,FALSE,25049,16430,3074,1045,255
1644040,VA,62.8,Female,Caucasian,No Party/No Info,FALSE,TRUE,1155,256673,47155,131,29
3386541,VA,68.3,Male,Caucasian,No Party/No Info,FALSE,FALSE,6370,44034,1300,80,3
407609,VA,56.4,Female,African-American,No Party/No Info,FALSE,FALSE,13816,1657,16,349,2
837268,VA,69.2,Female,African-American,No Party/No Info,FALSE,FALSE,58,6413,1840,2,2
3028365,VA,50.2,Female,Caucasian,No Party/No Info,FALSE,FALSE,95,3933,3,2,1
57376,WA,58.7,Male,Caucasian,No Party/No Info,FALSE,TRUE,5358,80817,3992,345,54
2904331,WA,41.1,Male,Caucasian,No Party/No Info,FALSE,FALSE,2545,70,1,129,16
1641056,WA,69.8,Female,Other,No Party/No Info,FALSE,FALSE,4294,1767,42,73,9
990095,WA,55,Female,Caucasian,No Party/No Info,FALSE,FALSE,95,9219,589,12,7
293330,WA,56.6,Male,Caucasian,No Party/No Info,FALSE,FALSE,808,26366,346,73,4
2206452,WA,33.6,Female,Caucasian,No Party/No Info,FALSE,TRUE,5092,72041,9898,14,2
123030,WA,62.7,Female,Caucasian,No Party/No Info,FALSE,FALSE,147,8496,38,12,1
340822,WA,24.1,Male,Caucasian,No Party/No Info,FALSE,FALSE,120,823,136,2,1
540525,WA,40.4,Male,Caucasian,No Party/No Info,FALSE,FALSE,2483,7619,74,48,1
1058058,WA,63.2,Female,Caucasian,No Party/No Info,FALSE,FALSE,210,14125,10,12,1
